row_id,column,value,prior_error_type,prior_source,is_error,error_type,confidence,suggested_fix,llm_reason
7,Score,empty,MV,stage1,True,MV,0.99,,值为'empty'，是明确的缺失值哨兵，该列应为百分比数字
7,Sample,empty,MV,stage1,True,MV,0.99,,值为'empty'，是明确的缺失值哨兵，该列应为患者数量
7,City,birmingxam,T,stage1,True,T,0.99,birmingham,'birmingxam'与正常值'birmingham'编辑距离1，明显拼写错误，且与State='al'一致
7,HospitalName,callahan eye foundation hospital,DIST,stage2,False,NONE,0.95,,'Callahan Eye Foundation Hospital'是伯明翰真实存在的医院，与城市及州一致，分布异常为误报
10,City,sheffxeld,T,stage1,True,T,0.95,sheffield,与正常值'sheffield'仅一字之差，显系拼写错误，且Alabama州存在Sheffield市。
10,HospitalOwner,government - hospital district or authority,DIST,stage2,False,NONE,0.99,,该值直接出现在normal_samples中，为合法所有权类型，无需修复。
13,ProviderNumber,1xx19,FI,stage1,True,FI,0.95,,"ProviderNumber should be 5 digits, but contains 'xx' which are not digits, violating the format."
13,Score,empty,MV,stage1,True,MV,0.99,,"Value is 'empty', a sentinel for missing data, while normal samples are percentage strings like '100%'."
14,Score,empty,MV,stage1,True,MV,0.95,,值为'empty'，是缺失哨兵，且Sample为0 patients，实际不可用
14,HospitalName,helen keller memorial hospital,DIST,stage2,False,NONE,1.0,,该名称在正常样例中出现，无拼写错误
14,PhoneNumber,2563864556,DIST,stage2,False,NONE,1.0,,该号码在正常样例中出现，无格式或分布问题
16,HospitalType,acuxe care hospixals,FI,stage1,True,T,1.0,acute care hospitals,Typo: 'acuxe care hospixals' should be 'acute care hospitals'.
16,City,sheffield,DIST,stage2,False,NONE,1.0,,City 'sheffield' matches state 'AL' and zip '35660'; not an error.
17,Sample,3x patients,FI,stage1,True,FI,0.95,3 patients,"Value '3x patients' contains extra character 'x', not matching normal pattern of digits + ' patients'"
17,CountyName,jefferson,DIST,stage2,True,VAD,0.98,colbert,"City Sheffield, AL (ZIP 35660) is in Colbert County, not Jefferson County"
21,Condition,heart attaxk,FI,stage1,True,T,0.95,heart attack,明显的拼写错误，应为'heart attack'，与同行MeasureName一致
21,Stateavg,al_ami-3,DIST,stage2,False,NONE,0.99,,值'al_ami-3'由State='al'和MeasureCode='ami-3'构成，完全合理，且在正常样例中
22,HospitalOwner,government - hospxtal dxstrxct or authorxty,FI,stage1,True,T,0.99,government - hospital district or authority,"明显的拼写错误：hospxtal->hospital, dxstrxct->district, authorxty->authority"
22,Condition,hearx axxack,FI,stage1,True,T,0.99,heart attack,拼写错误，正确应为heart attack
24,PhoneNumber,334793870x,FI,stage1,True,FI,0.95,,PhoneNumber应为10位数字，当前值包含非数字字符'x'
24,Score,empty,MV,stage1,True,MV,0.99,,'empty'为缺失哨兵，非有效分数
24,EmergencyService,yxs,VAD,stage1,True,T,0.9,yes,'yxs'与正常值'yes'高度相似，且同ProviderNumber多数为'yes'，推断为拼写错误
26,HospitalName,southeast alabama medxcal center,T,stage1,True,T,0.95,southeast alabama medical center,"'medxcal' is a typo of 'medical', confirmed by high-frequency name and edit distance 1."
27,HospitalOwner,government - hospital xistrict or authority,FI,stage1,True,T,0.95,government - hospital district or authority,Typo: 'xistrict' instead of 'district' matches normal sample.
27,HospitalName,southeast alabama medical center,DIST,stage2,False,NONE,0.8,,Name is plausible and consistent with normal samples; likely a false positive.
31,HospitalOwner,governmenx - hospixal disxricx or auxhorixy,FI,stage1,True,T,0.99,government - hospital district or authority,明显的拼写错误，'t'被替换为'x'，与标准值仅差几个字符
31,HospitalType,acute care hospitals,DIST,stage2,False,NONE,0.95,,该值在正常样本中完全匹配，无错误迹象
36,PhoneNumber,xx479x8701,FI,stage1,True,FI,1.0,,"Contains non-digit characters 'x', expected 10-digit number"
39,HospitalType,acxte care hospitals,FI,stage1,True,T,0.95,acute care hospitals,"Typo: 'acute' is misspelled as 'acxte'. Despite appearing in normal samples, it is clearly a typo variant of the standard value."
39,State,al,DIST,stage2,False,NONE,0.9,,"State 'al' correctly represents Alabama, consistent with City (Dothan), ZipCode (36302), and Stateavg prefix ('al_'). False alarm from distribution model."
42,HospitalOwner,gxvernment - hxspital district xr authxrity,FI,stage1,True,T,0.95,government - hospital district or authority,值中字母'o'被系统性替换为'x'，形成非标准枚举值，根据正常样例应为 'government - hospital district or authority'，属于拼写/替换错误
42,State,xl,VAD,stage1,True,VAD,0.98,al,ProviderNumber 10001 通常对应州 'al'，且医院名称、城市均指向阿拉巴马，当前值 'xl' 违反跨列依赖，应为 'al'
43,EmergencyService,yex,VAD,stage1,True,T,0.95,yes,"Typo: 'yex' is a misspelling of 'yes', which is the expected value for this hospital based on the majority of its records."
43,MeasureName,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,DIST,stage2,True,FI,0.9,patients who got treatment at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,"Extra space in 'treatment  at', should be a single space, consistent with the clean format in normal samples."
44,ZipCode,x5957,FI,stage1,True,FI,0.95,35957,x5957不符合常规5位数字邮编格式，且Boaz真实邮编为35957，x极可能是3的误录
44,City,boaz,DIST,stage2,False,NONE,0.99,,Boaz是阿拉巴马真实城市，且整行数据均为小写，与前序正常样本的大写差异仅为格式不一致，不是错误
45,ProviderNumber,x0005,FI,stage1,True,FI,0.9,00005,ProviderNumber应全为5位数字，当前值包含字母'x'，疑为错误输入，移除'x'补零得'00005'。
45,MeasureCode,ami-2,DIST,stage2,False,NONE,0.95,,该值在正常样例中存在，且与同行Condition和MeasureName语义一致，应为正确值。
46,State,xl,VAD,stage1,True,T,0.95,al,Stateavg为al_ami-3，ProviderNumber 10005通常对应AL，xl与al仅一字之差，视为typo
46,HospitalName,marshall medical center south,DIST,stage2,False,NONE,0.9,,与CountyName Marshall一致，全小写格式符合样例，无跨列矛盾，应为合法名称
47,Score,empty,MV,stage1,False,NONE,0.95,,Sample为0 patients，Score empty合理，表示无数据
47,Condition,heart attack,DIST,stage2,False,NONE,0.98,,heart attack与MeasureCode和MeasureName一致，正常样例包含，无错误
47,City,boaz,DIST,stage2,False,NONE,0.95,,boaz与State AL和ZipCode 35957匹配，正确城市名，小写非错误
48,ProviderNumber,10005,DIST,stage2,False,NONE,0.95,,"Value '10005' is a valid 5-digit provider ID, consistent with normal samples like '10046', and no cross-column dependency error."
48,Score,100%,DIST,stage2,False,NONE,0.99,,'100%' is a common percentage score present in normal samples; no format or semantic issue.
49,Score,empty,MV,stage1,True,MV,1.0,,值为缺失哨兵'empty'，Score应为百分数或空，且Sample为0患者，但此处明确表示缺失
49,Condition,heart attack,DIST,stage2,False,NONE,1.0,,当前值与正常样本中的'heart attack'完全一致，且与同行MeasureName等列语义匹配，属于误报
50,Score,empty,MV,stage1,True,MV,0.95,,Value 'empty' is a missing sentinel; Score likely blank given Sample '0 patients'
50,State,xl,VAD,stage1,True,T,0.99,al,"'xl' is a typo for 'al', supported by ProviderNumber, City, ZipCode, and Stateavg"
50,HospitalName,marshall medical center south,DIST,stage2,False,NONE,0.99,,Valid hospital name consistent with other columns; no error detected
51,EmergencyService,yxs,VAD,stage1,True,T,0.95,yes,"Value 'yxs' is a typo of 'yes', common in normal samples, and consistent with hospital type."
52,City,boaz,DIST,stage2,False,NONE,0.95,,"Boaz is a real city in Alabama, matches ZIP 35957 and Marshall County; cross-column consistency indicates false positive."
52,CountyName,marshall,DIST,stage2,False,NONE,0.99,,"'Marshall' is a valid Alabama county, present in normal samples; matches City/State/ZIP; not an error."
56,Stateavg,al_pn-xb,FI,stage1,True,FI,0.85,al_pn-3b,应与MeasureCode pn-3b匹配，后缀xb疑为3b误输
56,City,boxz,T,stage1,True,T,0.99,boaz,与邮编35957对应城市boaz仅差一个字符，明显拼写错误
56,Address,2505 u s highway 431 north,DIST,stage2,False,NONE,0.9,,合法地址格式，医院实际位于该高速路，分布异常非实际错误
57,PhoneNumber,2x6x938310,FI,stage1,True,MV,1.0,,电话号码包含非数字字符'x'，实际为缺失哨兵，无法推断正确号码
57,Address,2505xuxsxhighwayx431xnorth,VAD,stage1,True,FI,1.0,2505 u s highway 431 north,地址中包含占位符'x'，与ProviderNumber=10005的已知地址不一致，正确地址应为'2505 u s highway 431 north'
60,PhoneNumber,2x6x938310,FI,stage1,True,FI,0.95,,"Contains non-digit characters 'x', violating expected 10-digit numeric format."
63,ZipCode,3595x,FI,stage1,True,FI,0.95,,"Value contains non-numeric character 'x', all normal samples are 5-digit numbers."
65,PhoneNumber,2565x38310,FI,stage1,True,FI,0.95,,包含非法字符'x'，北美电话号码应为10位纯数字，无法推断正确数字
65,Score,empty,MV,stage1,False,NONE,0.9,,该行样本数为0患者，分数不可计算，标记为'empty'符合语义，非数据错误
65,HospitalName,marshall medical center south,DIST,stage2,True,FI,0.95,Marshall Medical Center South,医院名称应首字母大写，但当前为全小写
66,ProviderNumber,10005,DIST,stage2,False,NONE,0.95,,ProviderNumber '10005' 与同列正常样例格式一致，无异常，前序 DIST 标记为误报
67,CountyName,mxrshxll,T,stage1,True,T,0.95,marshall,与高频正常值'marshall'编辑距离2，且该行HospitalName含'marshall'，地理一致
68,MeasureCode,scip-vte-2,DIST,stage2,False,NONE,0.95,,"MeasureCode 'scip-vte-2' is consistent with Condition, MeasureName, and Stateavg (AL prefix); similar code 'scip-card-2' in normal samples suggests it is a valid SCIP measure, likely a false alarm from the distribution detector."
70,ZipCode,3563x,FI,stage1,True,FI,0.95,35630,"Contains letter 'x', should be 5-digit number; normal samples are purely numeric; Florence, AL zip is typically 35630."
72,CountyName,laudxrdalx,T,stage1,True,T,0.98,lauderdale,拼写错误，与City/State匹配的县名应为Lauderdale，编辑距离2且有无效字符x
73,Condition,hearx axxack,FI,stage1,True,T,0.95,heart attack,Typo: 'hearx axxack' should be 'heart attack' based on MeasureName and MeasureCode.
74,Score,empty,MV,stage1,True,MV,0.95,,值为缺失哨兵'empty'，且Sample为0 patients，得分不可计算
74,MeasureCode,ami-7a,DIST,stage2,False,NONE,0.9,,值'ami-7a'与Condition相关，且Stateavg 'al_ami-7a'与之匹配，为合理编码
77,CountyName,laudexdale,T,stage1,True,T,0.95,lauderdale,拼写错误：'laudexdale' 与阿拉巴马州实际存在的 Lauderdale 县仅一个字符差异，且同列正常样例均为该州真实县名。
79,City,fxorence,T,stage1,True,T,0.95,florence,"ZipCode 35631 对应 Florence, AL，'fxorence' 应为 'florence' 的拼写错误，编辑距离1，且与同州正常样例一致。"
81,ProviderNumber,1000x,FI,stage1,True,FI,0.95,,ProviderNumber应为5位数字，当前包含字母'x'，不符合格式规范
82,State,al,DIST,stage2,False,NONE,0.95,,"State 'al' is consistent with City 'florence', ZipCode '35631', CountyName 'lauderdale' (all in Alabama), and matches Stateavg prefix 'al_pn-4'. The flagged DIST is likely due to anomalous normal samples, not an error."
83,State,xl,VAD,stage1,True,VAD,0.95,al,"City='florence', ZipCode='35631' 明确指向阿拉巴马州，State 应为 'al'，当前 'xl' 与上下文不一致，疑为 typo 或错误编码。"
88,City,florxncx,T,stage1,True,T,0.95,florence,与AL州邮编35631对应城市Florence编辑距离为2，明显拼写错误
88,MeasureCode,scip-inf-2,DIST,stage2,False,NONE,0.9,,与同行Condition='surgical infection prevention'及MeasureName语义一致，属于SCIP有效代码，非错误
91,Sample,619 paxienxs,FI,stage1,True,T,0.95,619 patients,"'paxienxs' is a typo for 'patients', as seen in normal samples."
93,ZipCode,3563x,FI,stage1,True,FI,0.99,35630,"包含非数字字符'x'，正常样本均为5位数字。该行城市疑似Florence, AL，常见邮编为35630，'x'可能是'0'的误输。"
93,City,flxrence,T,stage1,True,T,0.95,florence,与高频值'florence'编辑距离为1，且所在州、县、地址均指向Alabama的Florence市，确认为拼写错误。
94,MeasureName,xeart attack patients given aspirin at arrival,T,stage1,True,T,0.99,heart attack patients given aspirin at arrival,'xeart' 与高频正确值 'heart' 编辑距离为1，典型拼写错误
94,Address,702xnxmainxst,VAD,stage1,True,T,0.95,702 n main st,同 ProviderNumber 多数记录为 '702 n main st'，'xnx' 为 'n' 的错误重复
94,CountyName,covington,DIST,stage2,False,NONE,0.99,,Covington 是 Alabama 州真实县名，且与 City=opp、ZipCode=36467 一致，分布异常可能是样本偏差
95,Condition,heart attack,DIST,stage2,False,NONE,0.95,,"Value 'heart attack' matches MeasureCode 'ami-2' and MeasureName, and appears as a normal sample; flagged as DIST but is consistent with row context and common correct form."
96,Score,empty,MV,stage1,False,NONE,0.95,,"Sample is 0 patients, so Score is correctly reported as 'empty' (not applicable)."
96,ZipCode,36467,DIST,stage2,False,NONE,0.99,,"ZipCode 36467 is correct for Opp, AL; matches city and state."
96,HospitalName,mizell memorial hospital,DIST,stage2,False,NONE,0.99,,"Hospital name is correct for this location; matches known hospital in Opp, AL (Mizell Memorial Hospital)."
97,Score,empty,MV,stage1,True,MV,1.0,,"Value 'empty' is a missing sentinel, not a valid percentage."
97,MeasureCode,axi-4,VAD,stage1,True,VAD,0.95,ami-4,"MeasureName indicates heart attack; MeasureCode should be 'ami-4', not 'axi-4'."
97,CountyName,covington,DIST,stage2,False,NONE,0.9,,"City Opp, AL zip 36467 is in Covington County; value is correct."
97,Condition,heart attack,DIST,stage2,False,NONE,0.9,,"'heart attack' is a valid condition, present in normal samples and matching the measure."
98,HospitalType,acute care hosxitals,FI,stage1,True,T,0.95,acute care hospitals,拼写错误：'hosxitals'应为'hospitals'，整列期望唯一正确值
98,State,xl,VAD,stage1,True,VAD,0.99,al,State与同行ZipCode(36467)和City(opp)及Stateavg(al_ami-5)不一致，且ProviderNumber 10007常对应AL
99,Score,empty,MV,stage1,True,MV,0.95,,Score列应为百分比值，'empty'是缺失哨兵，且Sample为0 patients说明无数据，仅需标准化为空值
99,Condition,heart attack,DIST,stage2,False,NONE,0.95,,值'heart attack'是正常样本，且与同行MeasureName相符，前序标记误报
100,Score,empty,MV,stage1,False,NONE,0.95,,"Sample is '0 patients', so Score is reasonably empty; 'empty' is a consistent representation for missingness when denominator is zero."
100,CountyName,covington,DIST,stage2,False,NONE,0.99,,'covington' is present in the normal samples for CountyName; no abnormality.
100,Condition,heart attack,DIST,stage2,False,NONE,0.99,,'heart attack' is a correct medical condition and appears in the normal samples; the flagged typo examples in samples are different strings.
101,PhoneNumber,3344x33541,FI,stage1,True,FI,0.99,334433541,包含字母'x'，不符合北美电话号码纯数字格式，正常样例均为10位数字；移除'x'后为有效号码
101,MeasureCode,hfx1,FI,stage1,True,FI,0.9,hf-1,缺少连字符，不符合'字母-数字'的编码规范，基于同行Condition为heart failure，最可能为'hf-1'
103,CountyName,covington,DIST,stage2,False,NONE,0.99,,CountyName 'covington' is in normal samples and matches city 'opp' in Alabama (Covington County). No error detected.
104,CountyName,covington,DIST,stage2,False,NONE,0.99,,"Opp, AL 36467 位于 Covington County，值正确且与城市/州/邮编一致"
106,Address,702 x maix st,T,stage1,True,T,0.98,702 n main st,"地址拼写错误，结合医院名、城市、州、邮编，正确地址为 702 N Main St, Opp, AL 36467。"
108,MeasureCode,pnx5c,FI,stage1,True,T,0.95,pn-5c,MeasureCode 'pnx5c' 与 Stateavg 中的 'pn-5c' 相近，且正常样本均为带连字符的模式，'x' 可能是 '-' 的误打。
111,MeasureName,surgery patiexts who were takixg heart drugs called beta blockers before comixg to the hospital who were kept ox the beta blockers durixg the period just before axd after their surgery,VAD,stage1,True,T,0.98,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,"Multiple typographical errors compared to the standard text for SCIP-CARD-2 (e.g., 'patiexts'->'patients', 'takixg'->'taking', 'ox'->'on', 'axd'->'and'), consistent with a misspelled version, not a cross-column dependency violation."
111,CountyName,covington,DIST,stage2,False,NONE,0.98,,"'covington' is a normal sample for county names; it matches the city (Opp) and state (AL) per typical geographic references, indicating the distribution flag is a false positive."
113,HospitalOwner,volunxary non-profix - privaxe,FI,stage1,True,T,0.98,voluntary non-profit - private,与标准枚举值'voluntary non-profit - private'相比有多处拼写错误（'volunxary'、'profix'、'privaxe'），显为typo
113,CountyName,covington,DIST,stage2,False,NONE,0.95,,'covington'本身出现在正常样例列表中，属于合法值，前序标记为误报
115,Score,empty,MV,stage1,True,MV,1.0,,Score值为'empty'，是明确的缺失值哨兵。
115,Sample,0 patixnts,FI,stage1,True,T,1.0,0 patients,'patixnts'是'patients'的拼写错误。
115,CountyName,covington,DIST,stage2,False,NONE,1.0,,'covington'在正常样例中出现，是一个合法的阿拉巴马州县名。
115,HospitalName,mizell memorial hospital,DIST,stage2,False,NONE,0.9,,'mizell memorial hospital'结构符合正常样例，且在该城市真实存在，无错误。
117,CountyName,covington,DIST,stage2,False,NONE,0.95,,"CountyName出现在正常样例中，且与City、State、ZipCode一致（Opp, AL 36467属于Covington County），无错误。"
117,PhoneNumber,3344933541,DIST,stage2,False,NONE,0.9,,区号334符合阿拉巴马州东南部（Opp所在区域），格式与正常样例一致，无错误迹象。
118,CountyName,covington,DIST,stage2,False,NONE,0.95,,covington 是阿拉巴马州的一个合法县名，且出现在正常样例中，与整行数据一致
118,ProviderNumber,10007,DIST,stage2,False,NONE,0.9,,ProviderNumber 格式正常，与正常样例同为5位数字，无跨列冲突，前序标记可能为误报
119,MeasureName,heart attack patients given aspirin at arrivax,T,stage1,True,T,0.99,heart attack patients given aspirin at arrival,"Typo in 'arrivax', should be 'arrival' to match standard measure name."
119,State,ax,VAD,stage1,True,VAD,0.99,al,State code 'ax' is inconsistent with ZipCode 36049 and County 'crenshaw' which are in Alabama; should be 'al'.
120,Score,x00%,FI,stage1,True,FI,0.95,100%,"Value contains non-numeric 'x', violating percentage pattern; likely typo for '100%'."
120,MeasureCode,axi-2,VAD,stage1,True,VAD,0.99,ami-2,Code 'axi-2' conflicts with MeasureName 'heart attack patients given aspirin at discharge' (expected 'ami-2') and with Stateavg column value 'al_ami-2' which embeds code 'ami-2'.
121,Score,empty,MV,stage1,True,MV,0.95,,Score值为'empty'，非百分比格式，应视为缺失值。
122,Score,empty,MV,stage1,False,NONE,0.95,,Sample为0 patients，该度量不适用，'empty'是预期缺失标记。
124,Score,empty,MV,stage1,False,NONE,0.95,,"Sample is '0 patients', so score cannot be calculated; missing is expected, not an error."
124,Condition,heart attack,DIST,stage2,False,NONE,0.98,,Condition 'heart attack' matches MeasureName and is a valid value in normal samples; consistent with row context.
125,Score,empty,MV,stage1,True,MV,1.0,,Score值为缺失哨兵'empty'，且同行Sample为0 patients，表明无法计算分数，确为缺失值
127,Condition,heaxt failuxe,FI,stage1,True,T,0.95,heart failure,明显是'heart failure'的拼写错误，符合typo特征，且与正常样例中的正确值高度相似。
127,Score,72%,DIST,stage2,False,NONE,0.7,,Score值72%虽低于常见值，但仍在合理百分比范围内，格式正确，无跨列矛盾，可能仅是分布异常而非错误。
128,Score,75%,DIST,stage2,False,NONE,0.9,,Score value is within valid range and correctly formatted; low percentage is plausible for a small sample (8 patients) and does not conflict with other columns.
131,HospitalName,crenshaw cxmmunity hxspital,T,stage1,True,T,0.99,crenshaw community hospital,"Typo: 'cxmmunity' -> 'community', 'hxspital' -> 'hospital', matches known hospital in Luverne, AL."
131,City,luverne,DIST,stage2,False,NONE,0.95,,"Luverne is a valid city in Crenshaw County, AL, consistent with State, CountyName, and ZipCode 36049."
133,Sample,21 pxtients,FI,stage1,True,T,0.95,21 patients,'pxtients' is a typo of 'patients'
136,CountyName,crxnshaw,T,stage1,True,T,0.98,crenshaw,CountyName应与HospitalName中的地名一致，'crxnshaw'与正常值'crenshaw'仅一个字母差异，是拼写错误
136,Score,100%,DIST,stage2,False,NONE,0.95,,Score为'100%'是合法百分比，且Sample为1，符合上下文，无错误迹象
137,ZipCode,36x49,FI,stage1,True,FI,0.98,36049,"Contains non-digit 'x', likely typo for '0'; Luverne, AL ZIP is 36049."
137,Score,100%,DIST,stage2,False,NONE,0.95,,100% is a valid percentage and appears in normal samples; no evidence of error.
139,ZipCode,360x9,FI,stage1,True,FI,0.95,36049,"包含非法字符'x'，不符合全数字5位邮编格式；根据城市Luverne, AL，正确邮编应为36049。"
139,Score,100%,DIST,stage2,False,NONE,0.9,,正常样本中包括100%，且样本量2例时得分100%合理，无其他列违反依赖，前序分布标记为误报。
140,Score,empty,MV,stage1,False,NONE,0.98,,样本量Sample为“0 patients”，无数据时Score为empty是合理的，并非缺失值误报
140,State,ax,VAD,stage1,True,T,0.95,al,City为luverne，ZipCode36049，Stateavg前缀al，均指示State应为AL，ax为拼写错误
142,Score,100%,DIST,stage2,False,NONE,0.99,,Score值为100%是正常百分比表示，与正常样例一致，且与同行其他数据无冲突。
143,Score,100%,DIST,stage2,False,NONE,0.95,,Value '100%' is common in normal samples and consistent with sample size of 4 patients.
145,MeasureName,heart attaxk patients given aspirin at disxharge,T,stage1,True,T,0.95,heart attack patients given aspirin at discharge,两处拼写错误：'attaxk'应为'attack'，'disxharge'应为'discharge'，与高频正确值及Condition一致
145,MeasureCode,ami-2,DIST,stage2,False,NONE,0.9,,正常样例中包含'ami-2'，且与同行Condition和Stateavg一致，为合法代码
149,ZipCode,3x640,FI,stage1,True,FI,0.95,35640,包含字母'x'，不符合5位数字格式；根据城市和州，正确邮编应为35640
149,Score,empty,MV,stage1,False,NONE,0.95,,Sample为0 patients，Score为empty表示无数据，并非错误缺失
149,CountyName,morgan,DIST,stage2,False,NONE,0.95,,Morgan是该城市所在的郡，与上下文一致，应为正确值
150,Score,empty,MV,stage1,False,NONE,0.9,,"Sample is '0 patients', so Score is expected to be missing; 'empty' is a valid missing indicator in this context."
150,MeasureName,heart attack patients given pci within 90 minutes of arrival,DIST,stage2,False,NONE,1.0,,MeasureName matches Condition and MeasureCode; it is a standard description for AMI-8a.
150,MeasureCode,ami-8a,DIST,stage2,False,NONE,1.0,,MeasureCode 'ami-8a' is consistent with Condition 'heart attack' and Stateavg 'al_ami-8a'; it is a valid code.
152,EmergencyService,yes,DIST,stage2,False,NONE,0.95,,当前值'yes'是正常示例之一，且与同行其他列无冲突，急诊服务标记合理。
155,EmergencyService,yes,DIST,stage2,False,NONE,0.95,,"'yes' is a common valid value for EmergencyService, consistent with the row context, and was likely misflagged as a state_code anomaly."
157,ZipCode,3x640,FI,stage1,True,FI,0.95,35640,"Contains non-digit 'x'; Hartselle, AL zip is 35640"
157,HospitalOwner,pxopxietaxy,FI,stage1,True,T,0.9,proprietary,"Typo: all 'r' replaced with 'x', matches 'proprietary'"
157,EmergencyService,yxs,VAD,stage1,False,NONE,0.8,,'yxs' appears in normal samples; no cross-column inconsistency
158,Score,9x%,FI,stage1,True,FI,0.9,90%,"Contains non-numeric character 'x', likely a typo for '90%'"
159,HospitalOwner,proxrietary,FI,stage1,True,T,0.98,proprietary,拼写错误，多了一个'x'，应匹配枚举值'proprietary'
159,MeasureCode,pn-6,DIST,stage2,False,NONE,0.95,,MeasureCode 'pn-6' 与 Condition 'pneumonia' 及 MeasureName 一致，且出现在正常样例中，无错误
161,Address,201 pine sxreex norxhwesx,VAD,stage1,True,T,0.95,201 pine street northwest,"Typo: 'sxreex' -> 'street', 'norxhwesx' -> 'northwest'. Majority of records for this provider use correct spelling."
161,CountyName,morgan,DIST,stage2,False,NONE,1.0,,"Morgan County is correct for Hartselle, AL (ZIP 35640). Value is valid and matches expected county."
162,HospitalOwner,xroprietary,FI,stage1,True,T,0.95,proprietary,"Value 'xroprietary' appears to be a typo for 'proprietary', which is one of the standard enumerated values."
163,Score,x7%,FI,stage1,True,FI,0.95,7%,"Contains non-numeric character 'x', should be a pure percentage like '7%' based on normal samples."
164,HospitalOwner,pxopxietaxy,FI,stage1,True,OTHER,0.95,,值不在标准枚举中，且无法识别为已知类型
164,EmergencyService,yes,DIST,stage2,False,NONE,0.95,,正常值，在枚举内，且与上下文一致
165,Score,empty,MV,stage1,False,NONE,0.9,,样本量为0，得分不可用，empty表示无数据，与上下文一致
165,State,ax,VAD,stage1,True,T,0.95,al,City和ZipCode对应阿拉巴马州，State应为al，ax是拼写错误
