row_id,column,value,error_type,violated_rule,reason,suggested_fix,confidence
406,ZipCode,3x0x7,FI,regex,All sample values are 5-digit numbers,,
420,ZipCode,x5150,FI,regex,All sample values are 5-digit numbers,,
428,ZipCode,3x1x0,FI,regex,All sample values are 5-digit numbers,,
490,ZipCode,x6x60,FI,regex,All sample values are 5-digit numbers,,
499,ZipCode,x5960,FI,regex,All sample values are 5-digit numbers,,
544,ZipCode,3x10x,FI,regex,All sample values are 5-digit numbers,,
679,ZipCode,3x233,FI,regex,All sample values are 5-digit numbers,,
685,ZipCode,x52xx,FI,regex,All sample values are 5-digit numbers,,
710,ZipCode,36x78,FI,regex,All sample values are 5-digit numbers,,
750,ZipCode,3642x,FI,regex,All sample values are 5-digit numbers,,
815,ZipCode,x590x,FI,regex,All sample values are 5-digit numbers,,
923,ZipCode,3590x,FI,regex,All sample values are 5-digit numbers,,
24,PhoneNumber,334793870x,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
36,PhoneNumber,xx479x8701,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
57,PhoneNumber,2x6x938310,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
60,PhoneNumber,2x6x938310,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
65,PhoneNumber,2565x38310,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
101,PhoneNumber,3344x33541,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
217,PhoneNumber,2058x8x122,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
228,PhoneNumber,2568453x50,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
247,PhoneNumber,xx46x66221,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
261,PhoneNumber,334x3xx221,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
321,PhoneNumber,256235x900,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
342,PhoneNumber,xx479x5000,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
381,PhoneNumber,25x47x7xx0,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
384,PhoneNumber,25x47x7xx0,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
386,PhoneNumber,25x47x7xx0,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
393,PhoneNumber,33x361x267,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
471,PhoneNumber,334774x601,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
516,PhoneNumber,3342xx2100,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
548,PhoneNumber,3342938xxx,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
561,PhoneNumber,33x2938000,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
562,PhoneNumber,3342938xxx,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
572,PhoneNumber,334x561400,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
593,PhoneNumber,33x8972257,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
666,PhoneNumber,20593xx011,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
699,PhoneNumber,334x836541,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
713,PhoneNumber,33x28365x1,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
751,PhoneNumber,334xxx8466,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
763,PhoneNumber,33422284xx,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
824,PhoneNumber,2564944xxx,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
855,PhoneNumber,x059x16x00,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
865,PhoneNumber,20x9216200,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
881,PhoneNumber,x0593x5966,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
883,PhoneNumber,x0593x5966,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
916,PhoneNumber,x565435x00,FI,regex,所有样本均为10位数字，且首位为2-9，符合北美电话号码格式,,
16,HospitalType,acuxe care hospixals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
39,HospitalType,acxte care hospitals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
98,HospitalType,acute care hosxitals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
199,HospitalType,acute care hosxitals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
213,HospitalType,acutx carx hospitals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
266,HospitalType,acuxe care hospixals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
280,HospitalType,acutexcarexhospitals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
293,HospitalType,acuxe care hospixals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
411,HospitalType,acute care hosxitals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
413,HospitalType,acuxe care hospixals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
453,HospitalType,acute care hospitaxs,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
490,HospitalType,acute caxe hospitals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
493,HospitalType,acute care hxspitals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
497,HospitalType,acutx carx hospitals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
511,HospitalType,acuxe care hospixals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
532,HospitalType,acute care hosxitals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
588,HospitalType,acuxe care hospixals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
634,HospitalType,acuxe care hospixals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
695,HospitalType,acute cxre hospitxls,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
705,HospitalType,acutexcarexhospitals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
729,HospitalType,acutexcarexhospitals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
779,HospitalType,acutexcarexhospitals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
782,HospitalType,acute care hospitaxs,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
814,HospitalType,axute care hospitals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
848,HospitalType,acute caxe hospitals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
877,HospitalType,acute care hoxpitalx,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
902,HospitalType,acutexcarexhospitals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
926,HospitalType,acuxe care hospixals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
949,HospitalType,acute care hosxitals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
956,HospitalType,acute xare hospitals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
964,HospitalType,acutexcarexhospitals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
976,HospitalType,acutexcarexhospitals,FI,value_set,所有样本均为该正确值或其打字错误，预期只有一个合法取值,,
22,HospitalOwner,government - hospxtal dxstrxct or authorxty,FI,value_set,有限枚举类型，标准值为8个,,
27,HospitalOwner,government - hospital xistrict or authority,FI,value_set,有限枚举类型，标准值为8个,,
31,HospitalOwner,governmenx - hospixal disxricx or auxhorixy,FI,value_set,有限枚举类型，标准值为8个,,
42,HospitalOwner,gxvernment - hxspital district xr authxrity,FI,value_set,有限枚举类型，标准值为8个,,
113,HospitalOwner,volunxary non-profix - privaxe,FI,value_set,有限枚举类型，标准值为8个,,
157,HospitalOwner,pxopxietaxy,FI,value_set,有限枚举类型，标准值为8个,,
159,HospitalOwner,proxrietary,FI,value_set,有限枚举类型，标准值为8个,,
162,HospitalOwner,xroprietary,FI,value_set,有限枚举类型，标准值为8个,,
164,HospitalOwner,pxopxietaxy,FI,value_set,有限枚举类型，标准值为8个,,
216,HospitalOwner,volunxary non-profix - privaxe,FI,value_set,有限枚举类型，标准值为8个,,
218,HospitalOwner,voluntary nonxprofit x private,FI,value_set,有限枚举类型，标准值为8个,,
221,HospitalOwner,voluntaryxnon-profitx-xchurch,FI,value_set,有限枚举类型，标准值为8个,,
238,HospitalOwner,voxuntary non-profit - church,FI,value_set,有限枚举类型，标准值为8个,,
247,HospitalOwner,governxent - federal,FI,value_set,有限枚举类型，标准值为8个,,
313,HospitalOwner,prxprietary,FI,value_set,有限枚举类型，标准值为8个,,
332,HospitalOwner,proxrietary,FI,value_set,有限枚举类型，标准值为8个,,
356,HospitalOwner,prxprietary,FI,value_set,有限枚举类型，标准值为8个,,
449,HospitalOwner,proxrietary,FI,value_set,有限枚举类型，标准值为8个,,
456,HospitalOwner,gxvernment - hxspital district xr authxrity,FI,value_set,有限枚举类型，标准值为8个,,
493,HospitalOwner,voluntaryxnon-profitx-xprivate,FI,value_set,有限枚举类型，标准值为8个,,
526,HospitalOwner,volxntary non-profit - chxrch,FI,value_set,有限枚举类型，标准值为8个,,
572,HospitalOwner,voluntary non-profit - otxer,FI,value_set,有限枚举类型，标准值为8个,,
744,HospitalOwner,prxprietary,FI,value_set,有限枚举类型，标准值为8个,,
784,HospitalOwner,goverxmext - hospital district or authority,FI,value_set,有限枚举类型，标准值为8个,,
846,HospitalOwner,voluntaxy non-pxofit - pxivate,FI,value_set,有限枚举类型，标准值为8个,,
868,HospitalOwner,voluxtary xox-profit - private,FI,value_set,有限枚举类型，标准值为8个,,
872,HospitalOwner,voluntaxy non-pxofit - pxivate,FI,value_set,有限枚举类型，标准值为8个,,
21,Condition,heart attaxk,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
22,Condition,hearx axxack,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
73,Condition,hearx axxack,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
127,Condition,heaxt failuxe,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
199,Condition,heaxt attack,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
225,Condition,hexrt attxck,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
229,Condition,heart faxlure,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
236,Condition,suxgical infection pxevention,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
239,Condition,surgxcal infectxon preventxon,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
256,Condition,xneumonia,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
279,Condition,xeart failure,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
311,Condition,children s asthma care,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
312,Condition,children s asthma care,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
366,Condition,pnxumonia,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
369,Condition,pnexmonia,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
386,Condition,hxart failurx,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
400,Condition,hxart failurx,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
467,Condition,hexrt attxck,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
506,Condition,pneumonix,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
555,Condition,pxeumoxia,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
599,Condition,heart faixure,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
608,Condition,surgical ixfectiox prevextiox,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
631,Condition,pneumonxa,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
679,Condition,xneumonia,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
695,Condition,heart attaxk,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
698,Condition,hexrt fxilure,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
712,Condition,surgical infection xrevention,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
716,Condition,heartxattack,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
733,Condition,suxgical infection pxevention,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
766,Condition,children s asthma care,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
774,Condition,children s asthma care,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
775,Condition,children s asthma care,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
776,Condition,children s asthma care,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
780,Condition,heart attaxk,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
851,Condition,surgical infxction prxvxntion,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
869,Condition,surgical ixfectiox prevextiox,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
902,Condition,children s asthma care,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
903,Condition,children s asthma care,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
904,Condition,children s asthma care,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
955,Condition,hexrt attxck,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
974,Condition,surgical xnfection prevention,FI,value_set,该列应该只包含这四个有效的医疗条件，其他值均为拼写错误,,
101,MeasureCode,hfx1,FI,regex,"All observed values match pattern: lowercase letters with optional dash-separated segments, ending with dash-number[optional letters].",,
108,MeasureCode,pnx5c,FI,regex,"All observed values match pattern: lowercase letters with optional dash-separated segments, ending with dash-number[optional letters].",,
177,MeasureCode,hf-x,FI,regex,"All observed values match pattern: lowercase letters with optional dash-separated segments, ending with dash-number[optional letters].",,
349,MeasureCode,amix2,FI,regex,"All observed values match pattern: lowercase letters with optional dash-separated segments, ending with dash-number[optional letters].",,
391,MeasureCode,pn-xb,FI,regex,"All observed values match pattern: lowercase letters with optional dash-separated segments, ending with dash-number[optional letters].",,
409,MeasureCode,scipxinfx1,FI,regex,"All observed values match pattern: lowercase letters with optional dash-separated segments, ending with dash-number[optional letters].",,
495,MeasureCode,ami-x,FI,regex,"All observed values match pattern: lowercase letters with optional dash-separated segments, ending with dash-number[optional letters].",,
648,MeasureCode,hfx1,FI,regex,"All observed values match pattern: lowercase letters with optional dash-separated segments, ending with dash-number[optional letters].",,
676,MeasureCode,hfx4,FI,regex,"All observed values match pattern: lowercase letters with optional dash-separated segments, ending with dash-number[optional letters].",,
691,MeasureCode,amix1,FI,regex,"All observed values match pattern: lowercase letters with optional dash-separated segments, ending with dash-number[optional letters].",,
788,MeasureCode,pn-x,FI,regex,"All observed values match pattern: lowercase letters with optional dash-separated segments, ending with dash-number[optional letters].",,
842,MeasureCode,pnx6,FI,regex,"All observed values match pattern: lowercase letters with optional dash-separated segments, ending with dash-number[optional letters].",,
930,MeasureCode,amix1,FI,regex,"All observed values match pattern: lowercase letters with optional dash-separated segments, ending with dash-number[optional letters].",,
0,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
1,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
2,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
3,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
4,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
5,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
6,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
7,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
13,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
14,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
24,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
47,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
49,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
50,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
65,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
74,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
96,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
97,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
99,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
100,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
115,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
120,Score,x00%,FI,regex,Values are percentages (0%-100%) represented as one to three digits followed by '%'. Non-null values should match this pattern.,,
121,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
122,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
124,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
125,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
140,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
149,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
150,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
158,Score,9x%,FI,regex,Values are percentages (0%-100%) represented as one to three digits followed by '%'. Non-null values should match this pattern.,,
163,Score,x7%,FI,regex,Values are percentages (0%-100%) represented as one to three digits followed by '%'. Non-null values should match this pattern.,,
165,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
174,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
175,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
187,Score,95x,FI,regex,Values are percentages (0%-100%) represented as one to three digits followed by '%'. Non-null values should match this pattern.,,
190,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
199,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
208,Score,x5%,FI,regex,Values are percentages (0%-100%) represented as one to three digits followed by '%'. Non-null values should match this pattern.,,
237,Score,9x%,FI,regex,Values are percentages (0%-100%) represented as one to three digits followed by '%'. Non-null values should match this pattern.,,
238,Score,xx%,FI,regex,Values are percentages (0%-100%) represented as one to three digits followed by '%'. Non-null values should match this pattern.,,
240,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
244,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
245,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
246,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
247,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
248,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
249,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
250,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
252,Score,89x,FI,regex,Values are percentages (0%-100%) represented as one to three digits followed by '%'. Non-null values should match this pattern.,,
256,Score,x6%,FI,regex,Values are percentages (0%-100%) represented as one to three digits followed by '%'. Non-null values should match this pattern.,,
261,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
265,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
274,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
294,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
295,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
296,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
297,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
298,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
299,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
300,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
301,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
302,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
303,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
304,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
305,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
306,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
307,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
308,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
309,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
310,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
336,Score,x00%,FI,regex,Values are percentages (0%-100%) represented as one to three digits followed by '%'. Non-null values should match this pattern.,,
360,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
375,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
378,Score,x5%,FI,regex,Values are percentages (0%-100%) represented as one to three digits followed by '%'. Non-null values should match this pattern.,,
384,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
394,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
396,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
397,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
405,Score,x4%,FI,regex,Values are percentages (0%-100%) represented as one to three digits followed by '%'. Non-null values should match this pattern.,,
411,Score,1xx%,FI,regex,Values are percentages (0%-100%) represented as one to three digits followed by '%'. Non-null values should match this pattern.,,
417,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
419,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
420,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
426,Score,x7%,FI,regex,Values are percentages (0%-100%) represented as one to three digits followed by '%'. Non-null values should match this pattern.,,
450,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
451,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
462,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
468,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
472,Score,empty,MV,missing_value,缺失值：缺失哨兵(空串/NaN/empty 等),,
